,close,ret
2016/10/26,2257.12,-0.4
2016/10/25,2266.17,-0.21
2016/10/24,2270.95,1.35
2016/10/21,2240.75,0.78
2016/10/20,2223.42,0.09
2016/10/19,2221.53,-0.06
2016/10/18,2222.78,1.36
2016/10/17,2192.88,-0.77
2016/10/14,2209.81,0.35
2016/10/13,2202.12,0.05
2016/10/12,2201,-0.37
2016/10/11,2209.23,0.29
2016/10/10,2202.87,1.17
2016/9/30,2177.35,0.09
2016/9/29,2175.37,0.4
2016/9/28,2166.72,-0.45
2016/9/27,2176.45,0.42
2016/9/26,2167.26,-1.32
2016/9/23,2196.29,-0.2
2016/9/22,2200.7,0.62
2016/9/21,2187.15,0.13
2016/9/20,2184.21,-0.24
2016/9/19,2189.46,0.59
2016/9/14,2176.52,-0.76
2016/9/13,2193.19,-0.31
2016/9/12,2199.98,-1.32
2016/9/9,2229.31,-0.33
2016/9/8,2236.63,0
2016/9/7,2236.55,0.18
2016/9/6,2232.45,0.17
2016/9/5,2228.72,-0.05
2016/9/2,2229.89,0.43
2016/9/1,2220.4,-0.55
2016/8/31,2232.71,0.39
2016/8/30,2224.06,0.44
2016/8/29,2214.26,-0.23
2016/8/26,2219.31,-0.13
2016/8/25,2222.15,-0.45
2016/8/24,2232.21,-0.43
2016/8/23,2241.95,0.22
2016/8/22,2237.13,-0.54
2016/8/19,2249.34,0.21
2016/8/18,2244.72,-0.4
2016/8/17,2253.74,-0.18
2016/8/16,2257.7,-1.31
2016/8/15,2287.66,2.93
2016/8/12,2222.49,2.09
2016/8/11,2177.06,0.32
2016/8/10,2170.1,-0.24
2016/8/9,2175.35,0.73
2016/8/8,2159.67,0.51
2016/8/5,2148.68,0.23
2016/8/4,2143.84,-0.09
2016/8/3,2145.79,-0.12
2016/8/2,2148.45,0.04
2016/8/1,2147.56,-0.36
2016/7/29,2155.24,-0.4
2016/7/28,2163.81,-0.47
2016/7/27,2173.97,-0.39
2016/7/26,2182.51,1.06
2016/7/25,2159.55,0.11
2016/7/22,2157.23,-0.94
2016/7/21,2177.78,0.49
2016/7/20,2167.12,-0.38
2016/7/19,2175.4,-0.58
2016/7/18,2187.98,-0.2
2016/7/15,2192.39,-0.13
2016/7/14,2195.23,-0.12
2016/7/13,2197.79,-0.12
2016/7/12,2200.35,2.07
2016/7/11,2155.72,0.32
2016/7/8,2148.76,-0.84
2016/7/7,2166.88,-0.01
